Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2u7DxZVacwm2DIYXASoyST,"Si tu savais","Si tu savais","Elia",2020-11-27,162787,25,false,osorys,2021-06-04T10:10:49Z,"pop française,r&b français,rap français","Universal Music Division Capitol Music France",0.436,0.336,1,-8.332,1,0.0349,0.824,0,0.0876,0.327,114.774,4
spotify:track:1NavTWpdVEvTNBx52IRwYE,"Rêver","Rêver","Achile",2019-12-11,228866,35,true,osorys,2021-06-04T11:42:38Z,"rap français","RCA Group",0.641,0.282,4,-10.778,0,0.041,0.926,0,0.117,0.529,143.939,4
spotify:track:3EBnFdc4IkjRjlWG77iteT,"Viens on s'aime","Blessures","Cikey",2021-03-05,213342,50,false,osorys,2021-06-04T12:06:58Z,"r&b français","1198312 Records DK2",0.739,0.601,8,-10.661,0,0.129,0.621,0.00000504,0.0956,0.479,134.984,4
spotify:track:3KBhPqmtByEhKwwVtB7BCj,"Act Bad","Act Bad","Young Devyn",2021-05-14,113006,0,false,osorys,2021-06-04T17:04:48Z,"sexy drill,drill de new york","4th & Broadway / Island Records / Victor Victor",0.581,0.749,10,-4.22,1,0.318,0.213,0,0.0664,0.548,142.092,4
spotify:track:6r9zoV35UeEAh12sGS8gek,"Straight To It","Straight To It","Young Devyn",2021-02-12,112845,0,false,osorys,2021-06-04T17:05:30Z,"sexy drill,drill de new york","4th & Broadway / Victor Victor / Island Records",0.776,0.571,10,-6.979,0,0.449,0.477,0,0.121,0.45,150.768,4
spotify:track:0jhM7SIDRnIudInM73qyD0,"Zumba Cafew","Zumba Cafew","Soso Maness",2021-03-31,293163,25,true,osorys,2021-06-04T19:57:53Z,"rap français,pop urbaine","RCA Group",0.808,0.791,1,-3.995,1,0.263,0.384,0,0.113,0.476,86.033,4
spotify:track:6Wy3X4jSszfisnRscJCHdq,"I Like It Like That","I Like It Like That","Pete Rodriguez",1966-12-31,265080,65,false,osorys,2021-06-05T15:02:00Z,"cha-cha-cha,salsa,jazz latino,son cubano","Fania",0.596,0.7,5,-4.911,0,0.0323,0.68,0.000277,0.623,0.926,133.45,4
spotify:track:1q9UfGqscV5U8fqleN3qzK,"Cette fille","Etoile Noire","Luv Resval",2021-06-04,236072,58,true,osorys,2021-06-06T11:42:44Z,"rap français","AWA",0.839,0.553,2,-7.269,1,0.227,0.717,0.0000438,0.17,0.362,99.994,4
spotify:track:6oxxYx4ic1fsCpa9TjbDj5,"Toi mon amour","Toi mon amour","Chilla",2021-06-03,193942,28,false,gj2lbqtuhoo2zq2fwui1y1uno,2021-06-06T18:27:30Z,"rap français,r&b français,pop urbaine","Universal Music Division Capitol Music France",0.806,0.635,11,-8.075,0,0.0408,0.536,0,0.0986,0.414,112.952,4
spotify:track:7LsRdLY9S41POhOiu0FDYw,"C'est ainsi","Les lucioles","Euphonik",2021-02-12,166620,36,true,osorys,2021-06-06T18:46:02Z,"rap français","Euphonik",0.739,0.588,6,-7.267,1,0.328,0.67,0,0.096,0.742,87.351,4
spotify:track:6HGDxEtcoUsztb2xeVOXTP,"arrow","Now, Not Yet","half•alive",2019-08-09,222706,52,false,osorys,2021-06-07T16:22:24Z,"","half·alive/RCA Records",0.797,0.606,7,-6.41,1,0.0938,0.00549,0.0000962,0.0954,0.77,99.982,4
spotify:track:1DNjVcQcOapOKltDbTysf6,"Ces moments là","Ces moments là","Bhati",2021-02-28,199731,0,false,osorys,2021-06-07T19:29:57Z,"","BHA Production",0.848,0.632,6,-3.464,0,0.226,0.495,0,0.0986,0.697,149.099,4
spotify:track:5RZmrVFGXodrL0cojjEqz2,"Quelques heures","Quelques heures","Bhati",2021-02-15,145714,0,false,osorys,2021-06-07T19:30:00Z,"","BHA Production",0.806,0.435,11,-12.45,0,0.248,0.668,0.0000033,0.0968,0.415,111.884,4
spotify:track:6krlWcZ7HOU58jL1mzEzHs,"Moments simples","OuLyPo","Bhati;Bambii",2017-07-14,207083,0,false,osorys,2021-06-07T19:30:04Z,"hip-hop chinois,r&b chinois","BHA Productions",0.652,0.421,10,-11.309,0,0.315,0.239,0.0000193,0.111,0.761,88.336,4
spotify:track:7j1HZPPAEos2ONEjsGApWU,"Conte de Faits","Conte de Faits","TAÏZ",2021-06-01,208620,0,true,osorys,2021-06-07T20:13:29Z,"rap français","Y&W",0.598,0.651,5,-5.962,0,0.426,0.615,0,0.137,0.439,85.82,4
spotify:track:2KfSZ1deaml06rrkq1vwE3,"Est-ce que tu te rappelles ?","Est-ce que tu te rappelles ?","TAÏZ",2021-05-26,297461,0,true,osorys,2021-06-07T20:20:46Z,"rap français","Y&W",0.542,0.912,9,-4.595,1,0.407,0.644,0,0.252,0.682,99.232,5
spotify:track:0c9MclNsY3jS0pcm3r5lFX,"Des heures","Nemir","Nemir",2019-09-06,152174,41,false,osorys,2021-06-10T17:46:40Z,"rap français,r&b français","Universal Music Division Capitol Music France",0.738,0.6,0,-7.749,0,0.175,0.68,0.000132,0.0964,0.964,171.982,4
spotify:track:01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,3,false,osorys,2021-06-11T06:56:08Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
spotify:track:5wVV3ffd5nYYI3Wv3xcu7i,"Ctrl","Ctrl","Jewel Usain",2020-06-19,171939,43,true,osorys,2021-06-11T07:17:51Z,"rap français","DS PROD",0.636,0.676,0,-8.891,0,0.698,0.619,0,0.108,0.426,82.09,4
spotify:track:38IDIsgtkd9M3xedV4ipi0,"Etat des lieux (Freestyle)","Etat des lieux (Freestyle)","B-NØM",2021-03-19,169795,6,true,osorys,2021-06-11T07:25:50Z,"rap français","Rec. 118",0.771,0.704,2,-5.424,1,0.301,0.619,0,0.102,0.399,147.08,4
spotify:track:4qEW8QgybJTgA3bKgqVpSM,"One Last Time","Favorite Holiday, Vol. 1","Summer Salt",2019-12-24,217636,3,false,osorys,2021-06-11T07:36:51Z,"","Cherry Lime Records",0.71,0.36,1,-10.925,1,0.0281,0.753,0.233,0.0894,0.433,109.997,3
spotify:track:2dxyTLxvO1xzHSD6fDafwZ,"nuits d'été","nuits d'été","Oscar Anton;Clementine",2020-04-24,207053,47,false,osorys,2021-06-11T07:42:07Z,"pop française indie,pop française","Oa Records",0.71,0.458,6,-11.79,0,0.0757,0.71,0.00179,0.112,0.29,144.019,4
spotify:track:61GiMDN1kUiEQK6zHGMdnx,"Metamodernity","Metamodernity","Vansire",2019-06-11,162663,0,false,osorys,2021-06-11T08:27:37Z,"bedroom pop","591842 Records DK2",0.822,0.544,5,-10.077,1,0.0358,0.389,0.165,0.108,0.826,121.968,4
spotify:track:7DWSZ6J261UeffQS5BqqJ9,"Compteur à 0","Compteur à 0","PINS",2021-06-04,195306,6,false,osorys,2021-06-12T13:54:23Z,"rap français","Pitiless Records",0.598,0.708,6,-7.541,0,0.388,0.562,0,0.0813,0.453,85.841,1
spotify:track:4j5Bb0saeXmiz62XIZjcHj,"Mirador","Mirador","Kezah;Freddy Gladieux;Squeezie",2019-06-14,168000,53,false,osorys,2021-06-12T13:55:47Z,"","Balai Steak",0.832,0.747,1,-4.957,0,0.052,0.225,0.00000386,0.0412,0.789,99.986,4
spotify:track:3yndKI4zWEyC36BQYrdKBA,"Hit Sale","Hit Sale","Therapie TAXI;Roméo Elvis",2018-02-02,184400,66,false,osorys,2021-06-13T17:59:19Z,"pop française,pop française indie,variété française,house française,rap français","Panenka Music",0.573,0.784,9,-5.224,1,0.0591,0.141,0,0.0844,0.69,82.009,4
spotify:track:0Lo4I99DBS5t5tFAR2adJX,"Going Nowhere","Going Nowhere","Chill Bump",2017-10-06,255240,0,true,osorys,2021-06-13T18:04:10Z,"","No Pressure",0.731,0.545,2,-10.321,1,0.0523,0.312,0.00335,0.0935,0.0374,129.904,4
spotify:track:63HzuA02jgBBEqrYPAKImP,"Let Me Fall","Let Me Fall","Insk the Wolf",2020-11-20,164142,33,false,osorys,2021-06-13T20:04:43Z,"","Insk Records",0.849,0.347,11,-11.223,1,0.116,0.403,0.00000731,0.115,0.414,139.953,4
spotify:track:3GahMRXI3rL2JVeSLZBRnF,"Warned You","Shawcross","Good Morning",2014-11-14,136032,59,false,osorys,2021-06-13T20:26:08Z,"lo-fi indie,bedroom pop","Virgin Music Label And Artist Services Australia (P&D)",0.535,0.209,6,-16.402,1,0.0257,0.668,0.14,0.129,0.515,137.889,4
spotify:track:3XSNCLDDAxZYf6obe0MjKR,"Vago","Vago","JOYCA;Mastu",2021-06-13,174358,41,false,osorys,2021-06-15T20:59:43Z,"rap français","JOYCA",0.775,0.845,0,-7.213,0,0.0661,0.131,0.000184,0.146,0.836,116.992,4
spotify:track:2bwwV0oxZnGkxhZ2Uo3gxE,"Tentée","Tentée","Séleste",2021-01-14,188000,12,false,osorys,2021-06-18T04:48:18Z,"pop française,pop française indie","Panenka Music",0.708,0.662,6,-5.806,1,0.0523,0.483,0,0.141,0.325,120.008,4
spotify:track:5iJXJrcQROY7gHEWnUEqBD,"Fenêtre sur mer","Fenêtre sur mer","Bekar",2021-06-18,180188,23,true,osorys,2021-06-18T04:48:40Z,"rap français","Panenka Music",0.791,0.506,3,-7.929,0,0.138,0.0459,0.0000386,0.166,0.499,129.031,4
spotify:track:5oNwRwH2G3Sd1dmIBxVsDE,"Présence","Maintenant ou jamais","1minute2rap;Amber;Cikey;Pxrselow",2020-06-26,291346,12,false,osorys,2021-06-18T04:55:04Z,"rap français,musique indie philippine,r&b français","Juston Records",0.698,0.721,10,-7.51,1,0.0511,0.192,0,0.236,0.464,119.872,4
spotify:track:0SsYlkXxZ5vkWOTsKxMfMz,"Lonesome Town","Ricky Sings Again (Expanded Edition / Remastered)","Ricky Nelson",1959-01-01,134040,62,false,osorys,2021-06-18T08:42:53Z,"rockabilly,doo-wop","Capitol Records",0.404,0.193,11,-12.501,1,0.0305,0.794,0.000296,0.103,0.273,77.026,4
spotify:track:0V5cvmTKsYmF5FmGGEAfmS,"Je te laisserai des mots","Je te laisserai des mots","Patrick Watson",2010-09-10,160853,6,false,osorys,2021-06-18T11:51:34Z,"","Secret City Records",0.303,0.187,2,-16.757,1,0.0356,0.989,0.499,0.102,0.212,132.679,4
spotify:track:3dJKss9rfrPid48p5ZdRc2,"Entangle","Baby Goat","Young Devyn",2021-06-18,151464,0,false,osorys,2021-06-18T12:14:37Z,"sexy drill,drill de new york","4th & Broadway / Island Records / Victor Victor",0.734,0.628,5,-6.088,0,0.0478,0.743,0,0.129,0.549,103.014,4
