Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1PvfA3XKU7k7QAecko4Yb5,"End Of The World - Dr Phunk Remix","End Of The World (Dr Phunk Remix)","KAAZE;Jonathan Mendelsohn;Dr Phunk",2018-03-05,169593,41,false,osorys,2023-03-26T19:15:53Z,"big room,house progressive,edm,hardstyle,hardcore,techno hardcore","Revealed Recordings",0.47,0.902,2,-2.188,1,0.0468,0.0378,0,0.396,0.219,149.99,4
spotify:track:23Szaxejyt0Yhh5QYRq4Op,"Fallin'","Fallin'","ElementD;Micah Martin",2016-11-12,188000,8,false,osorys,2023-04-20T19:05:54Z,"hardstyle,basse mélodique,dubstep,future bass,deathstep","NCS",0.467,0.888,1,-5.656,1,0.053,0.0134,0.00000482,0.05,0.209,149.998,4
spotify:track:3ebXMykcMXOcLeJ9xZ17XH,"Scared to Be Lonely","Scared to Be Lonely","Martin Garrix;Dua Lipa",2017-01-27,220883,80,false,osorys,2023-09-17T09:57:24Z,"edm,house progressive,electronica,pop","Epic Amsterdam",0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,4
spotify:track:3rvEwBi1mFFHqCnkrGmnWp,"Unforgettable","Uncovered","Robin Schulz;Marc Scibilia",2017-09-29,225960,53,false,osorys,2023-09-19T04:09:24Z,"tropical house","WM Germany",0.683,0.538,4,-8.503,0,0.0599,0.138,0.00000128,0.303,0.445,110,4
spotify:track:11ju8yyUJIyYM92qPRnTso,"Suffermore","Suffermore","MALO",2020-05-19,290666,0,false,osorys,2023-12-24T11:06:22Z,"synthwave","Paradigma",0.485,0.698,3,-5.676,0,0.0417,0.0157,0.863,0.0696,0.118,89.998,4
spotify:track:0Ffc4FECykHpEqI4CLlSJN,"Lights Go Out","Rise of The Wise","Jauz",2023-07-14,186666,42,false,osorys,2024-01-25T17:46:32Z,"bass house,edm,future house,dubstep,électro house","Bite This!",0.653,0.942,11,-4.399,0,0.0416,0.00493,0.0543,0.112,0.24,125.994,4
spotify:track:6iaFDadGS6EqeyQb0c3QGZ,"Electric Feeling","Electric Feeling","TELYKAST",2023-09-08,186239,38,false,osorys,2024-02-02T19:31:19Z,"","Republic Records",0.578,0.941,11,-5.438,0,0.0429,0.197,0.0662,0.0809,0.161,148.059,4
spotify:track:2rMOHjoXZDHVG0JHt19ET2,"Our Sanctuary","Our Sanctuary","Digital Mindz",2022-02-18,159695,41,false,osorys,2024-02-13T15:24:50Z,"hardstyle,frenchcore","Dirty Workz",0.398,0.96,4,-5.683,0,0.0528,0.00449,0.134,0.292,0.0506,155.142,4
spotify:track:7c87NBp808HkgxfDzQCs4j,"Jet Plane","Jet Plane","Gusted",2022-12-08,182409,57,false,osorys,2024-03-30T20:57:49Z,"hypertechno,techno","Polydor Records",0.672,0.972,10,-5.084,0,0.0364,0.00773,0.164,0.11,0.427,144.988,4
spotify:track:6VkcErTwFTgzAlMjjNU246,"No Karma","No Karma","Vortek's",2024-01-17,293282,42,false,osorys,2024-03-30T20:58:03Z,"hard techno,tekno,acid techno,techno,frenchcore,techno hardcore","Omny Lab",0.593,0.998,1,-1.891,0,0.128,0.000803,0.498,0.107,0.254,154.999,4
